epoch	time	lr	train loss	train acc	testloss	test acc
0	0:0	0.001	1.7	37.6	1.35	51.2
1	0:0	0.001	1.22	55.9	1.13	59.4
2	0:0	0.001	1.17	57.7	1.1	60.2
3	0:0	0.001	1.14	58.7	1.08	60.9
4	0:0	0.001	1.12	59.6	1.06	61.4
5	0:0	0.001	1.1	60.2	1.05	62.1
6	0:0	0.001	1.08	60.9	1.03	62.5
7	0:0	0.001	1.07	61.2	1.01	63.1
8	0:0	0.001	1.05	61.9	1.0	63.4
9	0:0	0.001	1.04	62.3	0.987	64.3
10	0:0	0.001	1.02	63.0	0.972	64.9
11	0:0	0.001	1.01	63.5	0.957	65.3
12	0:0	0.001	0.99	64.5	0.945	65.7
13	0:0	0.001	0.971	65.1	0.93	66.5
14	0:0	0.001	0.958	65.6	0.912	67.3
15	0:0	0.001	0.944	66.2	0.898	67.8
16	0:0	0.001	0.928	67.0	0.889	68.0
17	0:0	0.001	0.911	67.5	0.878	68.5
18	0:0	0.001	0.9	67.8	0.862	69.0
19	0:0	0.001	0.882	68.4	0.85	69.5
20	0:0	0.001	0.869	68.9	0.836	70.2
21	0:0	0.001	0.856	69.6	0.824	70.7
22	0:0	0.001	0.844	69.9	0.82	70.6
23	0:0	0.001	0.829	70.5	0.807	71.2
24	0:0	0.001	0.815	71.1	0.797	71.5
25	0:0	0.001	0.803	71.4	0.786	72.2
26	0:0	0.001	0.787	72.0	0.77	72.7
27	0:0	0.001	0.779	72.4	0.758	72.9
28	0:0	0.001	0.765	72.9	0.748	73.5
29	0:0	0.001	0.75	73.4	0.738	74.1
30	0:0	0.001	0.736	74.0	0.729	74.3
31	0:0	0.001	0.727	74.3	0.718	74.8
32	0:0	0.001	0.715	74.6	0.708	75.0
33	0:0	0.001	0.702	75.2	0.7	75.5
34	0:0	0.001	0.694	75.4	0.691	76.0
35	0:0	0.001	0.681	75.8	0.688	75.7
36	0:0	0.001	0.669	76.4	0.682	76.6
37	0:0	0.001	0.66	76.9	0.68	76.3
38	0:0	0.001	0.65	77.1	0.67	76.4
39	0:0	0.001	0.64	77.5	0.653	77.1
40	0:0	0.001	0.632	77.7	0.653	77.2
41	0:0	0.001	0.622	78.1	0.642	77.6
42	0:0	0.001	0.612	78.5	0.64	78.0
43	0:0	0.001	0.606	78.8	0.632	77.9
44	0:0	0.001	0.597	79.0	0.629	78.2
45	0:0	0.001	0.587	79.4	0.622	78.1
46	0:0	0.001	0.583	79.5	0.621	78.1
47	0:0	0.001	0.572	79.9	0.613	78.6
48	0:0	0.001	0.569	80.1	0.607	79.0
49	0:0	0.001	0.558	80.5	0.614	78.6
50	0:0	0.001	0.55	80.7	0.606	79.0
51	0:0	0.001	0.547	80.6	0.599	79.3
52	0:0	0.001	0.535	81.2	0.597	79.5
53	0:0	0.001	0.535	81.3	0.597	79.0
54	0:0	0.001	0.523	81.8	0.587	79.4
55	0:0	0.001	0.519	82.0	0.583	79.7
56	0:0	0.001	0.515	82.2	0.581	80.3
57	0:0	0.001	0.505	82.4	0.582	80.1
58	0:0	0.001	0.5	82.4	0.573	80.5
59	0:0	0.001	0.497	82.6	0.573	80.3
60	0:0	0.001	0.486	82.9	0.58	80.3
