epoch	time	lr	train loss	train acc	testloss	test acc
0	0:0	0.001	1.61	40.8	1.85	40.2
1	0:0	0.001	1.2	56.6	1.16	57.6
2	0:0	0.001	1.16	58.2	1.14	58.5
3	0:0	0.001	1.14	58.9	1.13	58.9
4	0:0	0.001	1.13	59.3	1.11	59.5
5	0:0	0.001	1.12	59.5	1.11	60.0
6	0:0	0.001	1.11	59.9	1.1	60.0
7	0:0	0.001	1.1	60.3	1.09	60.4
8	0:0	0.001	1.1	60.5	1.08	60.8
9	0:0	0.001	1.09	60.9	1.07	61.0
10	0:0	0.001	1.07	61.5	1.07	61.0
11	0:0	0.001	1.07	61.5	1.06	61.3
12	0:0	0.001	1.06	61.7	1.05	61.8
13	0:0	0.001	1.06	62.0	1.05	61.8
14	0:0	0.001	1.05	62.3	1.04	62.4
15	0:0	0.001	1.04	62.7	1.03	62.5
16	0:0	0.001	1.04	62.7	1.03	62.5
17	0:0	0.001	1.03	63.2	1.02	62.7
18	0:0	0.001	1.03	63.3	1.01	63.2
19	0:0	0.001	1.02	63.6	1.01	63.5
20	0:0	0.001	1.01	63.7	1.0	63.6
21	0:0	0.001	1.0	64.1	1.0	63.8
22	0:0	0.001	0.997	64.6	0.992	63.9
23	0:0	0.001	0.991	64.5	0.986	64.4
24	0:0	0.001	0.98	64.9	0.978	64.3
25	0:0	0.001	0.981	65.1	0.975	64.6
26	0:0	0.001	0.971	65.4	0.971	64.8
27	0:0	0.001	0.964	65.4	0.964	65.2
28	0:0	0.001	0.957	65.7	0.961	65.3
29	0:0	0.001	0.954	66.1	0.957	65.4
30	0:0	0.001	0.95	66.2	0.953	65.7
31	0:0	0.001	0.944	66.3	0.947	65.8
32	0:0	0.001	0.94	66.6	0.946	65.9
33	0:0	0.001	0.933	66.7	0.933	66.3
34	0:0	0.001	0.927	67.0	0.928	66.7
35	0:0	0.001	0.924	66.9	0.93	66.8
36	0:0	0.001	0.916	67.4	0.927	66.9
37	0:0	0.001	0.913	67.6	0.923	66.9
38	0:0	0.001	0.906	67.8	0.916	67.1
39	0:0	0.001	0.905	67.6	0.909	67.5
40	0:0	0.001	0.899	67.8	0.91	67.5
41	0:0	0.001	0.895	68.1	0.906	67.7
42	0:0	0.001	0.891	68.1	0.901	67.5
43	0:0	0.001	0.886	68.3	0.895	68.1
44	0:0	0.001	0.883	68.3	0.891	68.4
45	0:0	0.001	0.877	68.8	0.897	68.0
46	0:0	0.001	0.875	68.8	0.894	68.5
47	0:0	0.001	0.869	69.1	0.881	68.9
48	0:0	0.001	0.864	69.3	0.879	69.0
49	0:0	0.001	0.864	69.1	0.877	68.8
50	0:0	0.001	0.86	69.4	0.874	69.0
51	0:0	0.001	0.852	69.6	0.865	69.0
52	0:0	0.001	0.851	69.7	0.87	69.3
53	0:0	0.001	0.848	69.8	0.862	69.4
54	0:0	0.001	0.845	70.0	0.857	69.9
55	0:0	0.001	0.839	69.9	0.854	69.9
56	0:0	0.001	0.837	70.3	0.852	69.9
57	0:0	0.001	0.83	70.5	0.85	70.1
58	0:0	0.001	0.83	70.4	0.843	70.0
59	0:0	0.001	0.825	70.5	0.845	70.1
60	0:0	0.001	0.821	70.9	0.844	70.3
61	0:0	0.001	0.82	70.9	0.835	70.9
62	0:0	0.001	0.813	71.1	0.833	70.7
63	0:0	0.001	0.812	71.1	0.829	70.6
64	0:0	0.001	0.809	71.3	0.824	71.1
65	0:0	0.001	0.803	71.4	0.83	70.8
66	0:0	0.001	0.802	71.5	0.827	71.1
67	0:0	0.001	0.8	71.6	0.823	71.2
68	0:0	0.001	0.795	71.6	0.829	71.0
69	0:0	0.001	0.789	71.9	0.819	71.3
70	0:0	0.001	0.793	71.8	0.813	71.3
71	0:0	0.001	0.785	72.1	0.812	71.5
72	0:0	0.001	0.784	72.0	0.809	71.5
73	0:0	0.001	0.778	72.6	0.81	71.7
74	0:0	0.001	0.781	72.3	0.805	71.7
75	0:0	0.001	0.776	72.4	0.807	71.9
76	0:0	0.001	0.77	72.8	0.807	71.7
77	0:0	0.001	0.766	72.9	0.789	72.3
78	0:0	0.001	0.764	72.8	0.804	72.0
79	0:0	0.001	0.762	73.0	0.795	72.1
80	0:0	0.0001	0.759	73.0	0.802	71.9
81	0:0	0.001	0.753	73.3	0.784	72.4
82	0:0	0.001	0.755	73.2	0.789	72.2
83	0:0	0.001	0.75	73.2	0.784	72.5
