epoch	time	lr	train loss	train acc	testloss	test acc
0	0:0	0.001	1.67	38.6	1.28	53.5
1	0:0	0.001	1.22	56.0	1.13	59.7
2	0:0	0.001	1.17	57.8	1.1	60.7
3	0:0	0.001	1.14	59.0	1.08	61.7
4	0:0	0.001	1.12	59.5	1.06	62.3
5	0:0	0.001	1.1	60.5	1.05	62.7
6	0:0	0.001	1.09	61.1	1.03	63.3
7	0:0	0.001	1.07	61.7	1.01	64.0
8	0:0	0.001	1.05	62.4	0.997	64.3
9	0:0	0.001	1.04	63.1	0.98	65.0
10	0:0	0.001	1.02	63.6	0.966	65.4
11	0:0	0.001	0.998	64.3	0.951	66.2
12	0:0	0.001	0.981	65.0	0.939	66.5
13	0:0	0.001	0.965	65.7	0.926	67.2
14	0:0	0.001	0.946	66.3	0.916	67.3
15	0:0	0.001	0.933	67.0	0.902	67.8
16	0:0	0.001	0.917	67.5	0.887	68.6
17	0:0	0.001	0.901	68.0	0.88	68.8
18	0:0	0.001	0.886	68.4	0.868	69.4
19	0:0	0.001	0.873	68.8	0.857	69.7
20	0:0	0.001	0.857	69.7	0.842	70.2
21	0:0	0.001	0.843	70.1	0.837	70.3
22	0:0	0.001	0.833	70.6	0.824	70.6
23	0:0	0.001	0.818	70.9	0.815	71.2
24	0:0	0.001	0.803	71.5	0.802	71.5
25	0:0	0.001	0.792	71.9	0.796	71.9
26	0:0	0.001	0.778	72.5	0.787	72.0
27	0:0	0.001	0.766	73.0	0.771	72.6
28	0:0	0.001	0.755	73.4	0.76	73.3
29	0:0	0.001	0.739	73.9	0.746	73.6
30	0:0	0.001	0.724	74.6	0.738	73.7
31	0:0	0.001	0.713	75.0	0.735	74.0
32	0:0	0.001	0.701	75.3	0.718	74.5
33	0:0	0.001	0.686	76.0	0.708	75.2
34	0:0	0.001	0.681	75.9	0.701	75.4
35	0:0	0.001	0.667	76.7	0.687	76.2
36	0:0	0.001	0.652	77.0	0.685	76.1
37	0:0	0.001	0.642	77.5	0.676	76.3
38	0:0	0.001	0.631	77.8	0.662	77.0
39	0:0	0.001	0.619	78.1	0.655	77.3
40	0:0	0.001	0.611	78.7	0.652	77.3
41	0:0	0.001	0.604	78.9	0.653	77.4
42	0:0	0.001	0.59	79.4	0.638	77.9
43	0:0	0.001	0.583	79.7	0.638	78.3
44	0:0	0.001	0.576	79.9	0.628	78.5
45	0:0	0.001	0.564	80.4	0.625	78.6
